MUNICIPIO,NOMBRE_MUNICIPIO,SECCION,CASILLA,NOMINAL,PAN,PRI,PRD,PVEM,PT,MC,PANAL,MORENA,PES,PAN_MC,PT_MORENA_PES,PT_MORENA,PT_PES,MORENA_PES,INDEPENDIENTE_1,INDEPENDIENTE_2,INDEPENDIENTE_3,INDEPENDIENTE_4,INDEPENDIENTE_5,INDEPENDIENTE_6,INDEPENDIENTE_7,INDEPENDIENTE_8,INDEPENDIENTE_9,INDEPENDIENTE_10,INDEPENDIENTE_11,INDEPENDIENTE_12,INDEPENDIENTE_13,INDEPENDIENTE_14,INDEPENDIENTE_15,INDEPENDIENTE_16,NO_REG,NULOS
4,AQUILES SERDAN,59,E3,623,49,59,11,11,2,8,6,54,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
4,AQUILES SERDAN,59,E3 C1,622,48,63,14,10,8,7,6,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
5,ASCENSIÓN,60,B1,680,151,89,7,1,6,6,0,56,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
5,ASCENSIÓN,60,C1,680,171,101,9,4,3,4,0,50,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
5,ASCENSIÓN,61,B1,639,151,114,2,4,9,6,1,62,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
5,ASCENSIÓN,61,C1,638,143,122,4,3,4,9,3,53,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5,ASCENSIÓN,62,B1,579,129,136,4,2,2,2,0,66,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
5,ASCENSIÓN,63,B1,585,134,112,1,1,3,4,2,36,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
5,ASCENSIÓN,63,C1,585,158,114,4,2,8,3,5,46,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
5,ASCENSIÓN,64,B1,479,84,83,4,2,1,7,0,35,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
