MUNICIPIO,SECCION,CASILLA,PAN,PRI_PVEM_PTP_PANAL,PRD,MC,MORENA,INDEPENDIENTE,NO_REG,NULOS
BALLEZA,103,B,134,135,0,0,0,14,0,6
BALLEZA,103,C1,130,129,1,0,0,29,0,11
BALLEZA,104,B,107,224,1,0,1,2,0,24
BALLEZA,105,B,167,149,2,0,0,6,0,22
BALLEZA,106,B,130,254,3,2,0,7,1,25
BALLEZA,106,C1,127,268,2,0,1,5,0,40
BALLEZA,107,B,185,179,0,0,1,17,0,8
BALLEZA,108,B,117,182,0,0,0,10,0,15
BALLEZA,109,B,45,137,0,0,0,3,0,9
BALLEZA,110,B,164,154,1,0,0,0,0,9
BALLEZA,110,C1,117,190,0,0,0,2,0,19
BALLEZA,111,B,168,192,0,0,0,1,0,27
BALLEZA,111,C1,168,179,1,0,0,2,0,20
BALLEZA,112,B,149,160,0,1,0,5,0,11
BALLEZA,113,B,26,195,0,1,0,2,0,14
BALLEZA,113,C1,10,263,0,0,0,0,0,10
BALLEZA,113,EX1,131,192,1,2,0,3,0,0
BALLEZA,114,B,158,193,1,0,0,7,0,32
BALLEZA,114,C1,159,235,1,1,0,12,0,16
BALLEZA,114,C2,184,189,0,0,0,10,0,18
BALLEZA,115,B,80,178,0,0,1,14,0,29
BALLEZA,115,EX1,73,224,1,2,0,1,0,17
BATOPILAS,116,B,79,198,9,1,0,14,0,35
BATOPILAS,116,C1,63,186,15,1,0,20,0,52
BATOPILAS,117,B,36,133,13,1,0,4,0,46
BATOPILAS,117,C1,40,141,13,0,0,4,0,43
BATOPILAS,118,B,13,70,17,0,5,1,0,17
BATOPILAS,119,B,51,95,12,0,0,1,0,46
BATOPILAS,119,C1,69,94,40,2,0,1,0,38
BATOPILAS,120,B,43,96,8,1,0,5,0,19
BATOPILAS,121,B,42,115,25,1,1,0,0,29
BATOPILAS,121,C1,45,96,29,1,0,0,0,59
BATOPILAS,122,B,63,197,6,4,0,6,0,23
BATOPILAS,123,B,32,217,1,1,1,0,0,24
BATOPILAS,123,C1,38,182,1,1,0,1,0,42
BATOPILAS,124,B,27,154,0,0,0,0,0,26
BATOPILAS,125,B,36,126,0,0,0,0,0,16
BATOPILAS,125,C1,32,152,1,0,0,0,0,10
BATOPILAS,126,B,15,195,1,1,0,3,0,0
BOCOYNA,127,B,107,30,0,9,0,14,0,4
BOCOYNA,128,B,248,175,1,33,2,17,0,22
BOCOYNA,129,B,143,101,1,61,2,60,1,25
BOCOYNA,129,C1,114,108,3,46,3,74,0,28
BOCOYNA,130,B,137,79,2,66,1,43,0,18
BOCOYNA,130,C1,132,91,4,61,3,56,1,20
BOCOYNA,130,C2,136,91,0,49,0,61,0,23
BOCOYNA,131,B,110,80,2,25,2,30,0,9
BOCOYNA,131,C1,115,79,1,24,2,41,0,14
BOCOYNA,132,B,149,118,5,42,1,60,0,23
BOCOYNA,132,C1,167,121,2,42,0,62,2,16
BOCOYNA,133,B,178,93,3,39,1,66,1,14
BOCOYNA,133,C1,168,109,1,32,6,53,1,26
BOCOYNA,134,B,144,108,4,52,0,49,1,14
BOCOYNA,134,C1,173,111,1,35,2,40,0,12
BOCOYNA,135,B,153,178,2,42,5,26,3,19
BOCOYNA,135,C1,184,132,0,44,3,39,0,24
BOCOYNA,136,B,113,102,3,31,1,28,1,18
BOCOYNA,136,C1,142,92,3,33,1,34,0,8
BOCOYNA,136,C2,165,121,1,22,1,19,0,7
BOCOYNA,136,ES1,100,64,5,7,1,37,1,4
BOCOYNA,137,B,108,160,5,26,2,16,0,36
BOCOYNA,137,C1,115,130,5,35,2,15,0,39
BOCOYNA,137,C2,118,126,7,26,1,27,0,40
BOCOYNA,137,C3,125,133,8,32,2,16,0,43
BOCOYNA,138,B,52,77,0,40,0,29,0,38
BOCOYNA,139,B,45,40,0,20,1,23,1,18
BOCOYNA,139,EX1,26,75,2,40,4,36,0,16
BOCOYNA,140,B,58,39,1,10,2,11,0,7
BOCOYNA,140,EX1,26,42,1,48,0,6,0,26
BOCOYNA,141,B,84,104,0,57,2,20,0,31
BOCOYNA,142,B,13,155,0,12,0,6,2,18
BOCOYNA,143,B,41,41,1,2,0,2,0,8
BOCOYNA,143,EX1,48,52,0,17,0,8,0,12
BOCOYNA,144,B,146,142,3,31,2,47,1,28
BOCOYNA,144,C1,180,129,3,30,0,36,0,35
BOCOYNA,145,B,70,69,1,33,0,5,1,40
BOCOYNA,145,C1,65,63,1,34,0,5,1,21
BOCOYNA,146,B,93,108,2,11,0,7,0,36
BOCOYNA,146,C1,90,118,0,25,0,9,0,21
BOCOYNA,147,B,30,219,0,83,2,5,0,62
BOCOYNA,148,B,69,130,4,29,0,0,0,29
BUENAVENTURA,149,B,149,160,4,14,1,19,0,7
BUENAVENTURA,150,B,155,110,1,2,2,25,0,20
BUENAVENTURA,151,B,180,179,3,3,10,27,0,11
BUENAVENTURA,152,B,151,119,1,6,7,25,0,0
BUENAVENTURA,153,B,182,143,2,7,5,21,0,9
BUENAVENTURA,153,C1,184,149,3,9,3,21,2,10
BUENAVENTURA,154,B,160,81,2,6,0,17,0,4
BUENAVENTURA,155,B,79,81,0,1,0,11,0,3
BUENAVENTURA,156,B,119,114,0,3,3,16,0,8
BUENAVENTURA,156,C1,130,113,3,9,0,15,0,7
BUENAVENTURA,157,B,106,132,2,1,1,8,0,4
BUENAVENTURA,157,C1,117,128,1,2,0,14,0,9
BUENAVENTURA,158,B,76,148,2,3,1,13,0,8
BUENAVENTURA,158,C1,88,118,3,1,2,9,0,4
BUENAVENTURA,159,B,112,140,3,1,3,31,0,4
BUENAVENTURA,160,B,93,130,2,1,1,7,0,4
BUENAVENTURA,160,C1,69,117,2,1,2,4,0,3
BUENAVENTURA,161,B,89,135,3,1,0,11,0,7
BUENAVENTURA,161,C1,90,118,4,2,0,17,0,6
BUENAVENTURA,162,B,104,134,3,0,2,12,0,9
BUENAVENTURA,163,B,101,179,21,0,2,0,0,6
BUENAVENTURA,164,B,67,122,12,1,1,16,0,4
BUENAVENTURA,164,C1,77,109,8,2,2,22,0,4
BUENAVENTURA,165,B,33,39,1,0,1,6,0,2
BUENAVENTURA,166,B,51,173,8,2,1,16,0,2
BUENAVENTURA,167,B,120,153,1,1,2,12,0,16
BUENAVENTURA,167,C1,133,120,2,5,2,11,0,11
BUENAVENTURA,168,B,120,121,3,1,3,14,0,7
BUENAVENTURA,168,C1,111,108,2,3,1,19,0,12
BUENAVENTURA,169,B,31,56,0,1,1,0,0,3
BUENAVENTURA,170,B,29,16,0,0,1,0,0,0
BUENAVENTURA,170,C1,31,19,0,0,0,2,0,0
BUENAVENTURA,171,B,33,61,1,3,0,6,0,7
BUENAVENTURA,172,B,124,159,1,18,1,19,0,11
BUENAVENTURA,172,C1,107,181,3,15,0,18,0,11
BUENAVENTURA,173,B,121,93,0,8,1,5,0,5
BUENAVENTURA,173,EX1,119,66,0,7,2,21,0,4
BUENAVENTURA,174,B,257,167,1,11,4,8,0,6
CAMARGO,175,B,74,62,7,1,4,9,0,4
CAMARGO,176,B,184,146,19,7,6,36,0,2
CAMARGO,177,B,158,101,29,1,1,30,0,3
CAMARGO,178,B,155,97,35,1,0,28,0,5
CAMARGO,179,B,92,81,24,0,0,20,0,0
CAMARGO,180,B,136,172,22,2,2,37,0,6
CAMARGO,181,B,113,81,26,1,0,21,0,1
CAMARGO,182,B,92,78,14,3,0,23,0,6
CAMARGO,182,ES1,225,142,27,7,6,101,2,5
CAMARGO,183,B,211,99,26,4,3,35,0,8
CAMARGO,184,B,170,92,25,7,4,28,0,2
CAMARGO,185,B,225,94,39,2,3,61,0,2
CAMARGO,185,C1,210,128,23,1,0,52,0,0
CAMARGO,186,B,151,101,33,4,3,54,0,7
CAMARGO,186,C1,130,78,23,3,1,23,0,7
CAMARGO,187,B,160,77,34,1,3,27,0,2
CAMARGO,188,B,145,84,22,2,4,27,0,9
CAMARGO,189,B,215,110,37,0,4,32,0,8
CAMARGO,190,B,215,118,40,6,3,52,0,5
CAMARGO,191,B,126,97,34,4,7,31,0,8
CAMARGO,191,C1,114,118,28,4,1,30,0,5
CAMARGO,191,C2,120,112,36,1,3,29,0,5
CAMARGO,192,B,153,161,41,3,7,50,1,0
CAMARGO,192,C1,160,149,31,7,6,55,0,7
CAMARGO,192,C2,175,137,43,5,3,61,0,5
CAMARGO,192,C3,158,147,39,6,4,51,0,7
CAMARGO,192,C4,147,142,45,6,4,55,0,5
CAMARGO,193,B,186,133,45,3,2,47,0,7
CAMARGO,194,B,132,103,31,1,4,44,0,7
CAMARGO,194,C1,142,85,37,5,4,46,1,2
CAMARGO,195,B,179,108,46,4,1,43,0,8
CAMARGO,196,B,181,122,34,2,4,50,1,9
CAMARGO,196,C1,156,121,34,5,3,55,0,17
CAMARGO,197,B,105,72,29,2,4,38,0,3
CAMARGO,197,C1,108,66,19,3,5,36,0,7
CAMARGO,199,B,202,78,31,1,5,25,0,9
CAMARGO,199,C1,202,79,17,2,6,30,0,1
CAMARGO,199,EX1,130,97,56,8,0,8,0,9
CAMARGO,200,B,117,99,30,2,6,44,0,11
CAMARGO,200,C1,111,110,24,1,3,47,0,6
CAMARGO,201,B,108,92,15,3,4,25,0,7
CAMARGO,201,C1,110,88,14,2,1,18,0,6
CAMARGO,202,B,173,146,34,1,5,42,0,12
CAMARGO,202,C1,164,131,34,5,1,36,0,4
CAMARGO,202,C2,156,114,47,2,3,60,0,6
CAMARGO,202,C3,156,119,46,8,6,37,0,7
CAMARGO,203,B,174,120,37,5,2,46,12,0
CAMARGO,203,C1,184,104,48,6,2,39,8,0
CAMARGO,203,C2,168,113,46,6,4,40,0,18
CAMARGO,203,C3,177,99,44,4,5,33,0,8
CAMARGO,204,B,126,125,28,3,9,23,1,7
CAMARGO,204,C1,128,121,16,2,9,24,0,9
CAMARGO,204,C2,124,116,26,3,11,26,0,7
CAMARGO,205,B,134,105,32,3,3,29,0,8
CAMARGO,205,C1,99,115,45,2,1,22,0,6
CAMARGO,205,C2,127,108,28,8,2,35,0,7
CAMARGO,206,B,141,154,51,5,1,57,0,6
CAMARGO,206,C1,143,159,38,4,4,38,0,4
CAMARGO,207,B,63,70,0,0,4,5,0,0
CAMARGO,208,B,41,51,2,0,1,2,0,1
CAMARGO,214,B,72,47,10,1,1,16,0,6
CAMARGO,215,B,165,71,6,1,0,0,0,4
CAMARGO,215,C1,127,98,15,4,2,25,0,9
CAMARGO,216,B,177,74,34,2,3,20,0,10
CAMARGO,216,C1,208,84,20,2,4,18,0,0
CAMARGO,217,B,72,102,4,4,2,10,0,11
CAMARGO,217,EX1,110,42,6,1,3,15,0,3
CAMARGO,218,B,90,103,8,0,5,9,0,6
CAMARGO,219,B,83,105,7,0,2,5,1,9
CAMARGO,219,EX1,19,53,5,1,3,2,0,1
CAMARGO,220,B,58,26,1,0,0,4,0,2
CARICHI,221,B,163,120,30,69,16,15,0,25
CARICHI,221,C1,164,103,36,40,19,26,0,30
CARICHI,222,B,129,79,12,27,7,9,0,12
CARICHI,223,B,113,63,22,8,6,6,1,8
CARICHI,224,B,39,55,5,16,5,16,0,5
CARICHI,225,B,201,134,51,23,3,17,0,21
CARICHI,226,B,70,35,11,6,3,8,1,2
CARICHI,227,B,70,62,5,6,1,6,0,10
CARICHI,228,B,19,30,18,9,0,0,0,1
CARICHI,229,B,65,36,28,15,3,2,0,11
CARICHI,231,B,15,46,18,9,3,0,0,8
CARICHI,232,B,22,74,16,15,2,0,0,7
CARICHI,233,B,14,47,37,1,1,1,0,10
CARICHI,234,B,72,232,42,31,3,5,0,43
CARICHI,234,EX1,9,129,19,11,0,1,2,42
CARICHI,235,B,107,93,51,41,1,0,0,44
CARICHI,236,B,67,156,54,28,2,0,0,66
CARICHI,237,B,143,114,46,87,3,0,0,68
CASAS GRANDES,238,B,75,121,14,46,25,50,0,17
CASAS GRANDES,239,B,63,71,12,26,15,23,0,6
CASAS GRANDES,239,C1,45,70,11,14,18,0,0,14
CASAS GRANDES,240,B,91,111,18,25,22,43,0,27
CASAS GRANDES,240,C1,89,93,23,24,20,0,0,13
CASAS GRANDES,241,B,89,92,36,32,13,48,0,15
CASAS GRANDES,241,C1,83,100,23,33,27,51,0,10
CASAS GRANDES,241,C2,73,96,16,32,34,43,0,14
CASAS GRANDES,241,C3,84,84,25,30,23,54,0,13
CASAS GRANDES,242,B,43,74,29,3,5,37,0,4
CASAS GRANDES,242,EX1,8,50,1,4,3,5,0,3
CASAS GRANDES,243,B,34,39,65,17,16,21,0,11
CASAS GRANDES,243,C1,48,43,59,14,8,11,0,15
CASAS GRANDES,244,B,50,37,31,9,5,13,0,10
CASAS GRANDES,245,B,76,45,22,17,15,43,0,11
CASAS GRANDES,245,C1,80,41,7,19,13,51,0,12
CASAS GRANDES,248,B,51,87,15,16,6,8,0,8
CASAS GRANDES,249,B,43,37,5,7,9,1,0,3
CASAS GRANDES,250,B,25,29,26,6,6,4,0,10
CASAS GRANDES,251,B,64,98,88,31,9,25,0,10
CASAS GRANDES,251,C1,56,69,129,28,9,0,0,11
CASAS GRANDES,252,B,12,7,4,6,13,3,0,1
CORONADO,253,B,164,193,3,0,2,41,0,13
CORONADO,253,C1,157,162,0,8,3,28,0,4
CORONADO,254,B,34,94,0,1,0,6,0,2
CORONADO,256,B,68,98,1,0,4,7,0,18
CORONADO,257,B,188,201,1,0,1,12,0,5
COYAME DEL SOTOL,261,B,304,207,2,0,2,9,0,4
COYAME DEL SOTOL,261,C1,273,143,2,0,2,8,0,3
COYAME DEL SOTOL,264,B,101,71,0,0,0,1,0,2
COYAME DEL SOTOL,265,B,148,274,0,0,0,17,0,7
LA CRUZ,266,B,125,173,14,2,6,58,0,9
LA CRUZ,266,C1,120,132,10,7,8,58,0,10
LA CRUZ,267,B,108,77,7,3,4,15,0,4
LA CRUZ,268,B,54,175,4,2,2,18,0,5
LA CRUZ,269,B,170,183,32,38,3,70,0,10
LA CRUZ,270,B,149,125,17,4,0,48,0,7
LA CRUZ,270,EX1,52,34,3,2,1,25,0,2
CUAUHTEMOC,271,B,144,53,2,7,2,63,0,7
CUAUHTEMOC,271,C1,165,41,3,8,5,65,0,5
CUAUHTEMOC,272,B,111,34,2,3,1,37,0,3
CUAUHTEMOC,272,C1,77,27,0,1,1,24,0,3
CUAUHTEMOC,272,C2,68,26,1,3,0,28,0,0
CUAUHTEMOC,272,C3,125,36,1,1,2,36,0,2
CUAUHTEMOC,272,C4,97,28,0,3,0,27,0,0
CUAUHTEMOC,273,B,164,67,5,9,4,67,0,9
CUAUHTEMOC,274,B,217,80,2,13,4,85,0,4
CUAUHTEMOC,275,B,183,48,1,9,3,54,0,7
CUAUHTEMOC,275,C1,166,54,4,7,7,62,0,3
CUAUHTEMOC,275,C2,161,46,3,5,3,60,0,2
CUAUHTEMOC,275,C3,155,53,6,6,5,59,0,5
CUAUHTEMOC,276,B,186,45,4,6,6,83,0,9
CUAUHTEMOC,276,C1,184,51,8,7,3,67,0,15
CUAUHTEMOC,276,C2,168,70,4,10,0,70,0,6
CUAUHTEMOC,276,C3,158,65,6,13,6,70,1,9
CUAUHTEMOC,277,B,177,79,2,12,4,79,0,4
CUAUHTEMOC,277,C1,183,80,4,9,7,63,0,6
CUAUHTEMOC,278,B,131,74,3,5,5,48,1,8
